Tiempo,carvajal2018,carvajal2019,carvajal2021,Centro2018,Centro2019,Centro2021,Kennedy2018,Kennedy2019,Kennedy2021,Ferias2018,Ferias2019,Ferias2021,PuenteA2018,PuenteA2019,PuenteA2021,Tunal2018,Tunal2019,Tunal2021,Usaquen2018,Usaquen2019,Usaquen2021
1,1.10057,1.00876890625,1.6114785714285715,0.6597260427807486,1.14428140625,0.48475189873417723,0.7350476439790576,0.7273299479166666,1.0528354166666667,0.6438629761904762,0.8656717708333334,0.7641715277777777,0.7516286363636364,0.9774596842105263,0.8185409638554217,0.6814305714285714,0.9342607329842932,0.7058863095238095,0.42547732142857136,0.7639244047619048,0.41061190476190473
2,1.2496767924528303,1.1587077976190476,2.02806875,1.0994830952380952,0.9785219879518072,0.5736652694610778,0.8019989634146341,0.6896921428571429,0.8006357575757574,0.7222314864864865,0.749890975609756,0.6289520958083832,0.9841681034482759,0.8642091017964072,1.0558818181818184,0.7719829166666666,0.9067876470588235,0.8920327380952381,0.5220972619047619,0.5012095,0.6451392857142857
3,1.3244959281437125,1.1621707738095237,1.7746506666666668,0.5779908490566038,0.5895199999999999,0.5157622754491018,0.8187604166666667,0.8031436904761906,0.8523383233532934,0.5964426347305389,0.5749310119047619,0.5152796407185628,0.6651970833333334,0.698795421686747,1.4330736526946106,0.6696747967479675,0.5396961676646707,0.7846458333333334,0.23980838235294116,0.23175624999999997,0.4962592814371257
4,1.4218998809523808,1.2228212650602408,1.915920238095238,0.671276305732484,0.6114972839506173,0.44668373493975905,0.9648925454545454,0.7915044311377246,0.8942349397590362,0.5390563095238095,0.642321369047619,0.5035555555555555,0.7830802976190476,0.9286286227544911,1.6876476190476193,0.8033928571428571,0.4518001190476191,0.8801898203592815,0.41384553571428573,0.21717285714285714,0.4102732142857143
5,1.3975600694444443,1.2447159036144577,1.7195833333333335,0.8732004191616766,1.0216486503067483,0.4992852760736196,0.8926977710843373,0.8569978443113773,0.78843,0.8762608571428571,1.068574787878788,0.7187071428571429,0.9578769047619047,1.3627655688622755,0.942154248366013,0.7131446540880503,0.918558502994012,0.818979761904762,0.6238313095238095,0.6871652083333334,0.45176467065868264
6,1.308778888888889,1.358308154761905,1.9029192771084336,0.7907565454545454,0.9760622891566265,0.5423024096385543,0.8732193452380953,0.9074079393939394,1.0233671328671328,0.7140563473053892,0.8559790419161677,0.8327881944444444,0.779987578125,0.9400580120481928,0.9650738095238095,1.1458683333333333,1.0311325,0.8604592814371257,0.4026689285714286,0.8499946527777777,0.43126578947368427
7,1.181703287671233,1.0791025748502994,2.5490464285714287,0.7955955688622754,0.8373971257485029,0.49021785714285715,0.7668630722891566,0.8311225595238095,0.8030869047619047,0.4783152317880795,0.8325270658682634,0.9374005988023951,0.7862504861111111,1.0729472891566265,0.9053679611650485,0.5921106547619048,0.9783488333333333,1.0244341317365269,0.5500149700598803,0.5184599305555556,0.4959827380952381
8,1.225257738095238,0.8886767857142857,2.0541160714285716,0.7033640718562874,0.8458083233532934,0.46461011904761906,0.774561369047619,0.7746435329341317,0.922157738095238,0.5511699999999999,0.7631113772455089,0.9685220238095239,0.723382994011976,1.0419601796407185,0.9917128205128205,0.6261904761904762,0.7387845238095238,1.05155,0.6508829341317366,0.6725092261904762,0.37501437125748505
9,1.4767526851851853,0.9750802976190476,1.9547661870503596,0.8837207738095239,0.8798122155688622,0.48569047619047623,0.8891661077844311,0.7421251204819277,0.8727754545454546,0.821386814159292,0.7433994642857142,0.7488748502994012,0.897476130952381,1.295928630952381,0.8579232394366197,0.5892297023809524,0.68853874251497,0.7991244047619048,0.5915157738095238,0.6442098611111111,0.4090065476190476
10,1.4262802777777779,1.3099006547619048,1.9298065476190476,0.7766991666666666,0.8786223952095809,0.6044589285714286,0.8717372023809524,0.8814027976190476,1.001753472222222,0.7508126347305389,0.7064924242424243,0.8927014184397164,0.871445,0.7797356287425149,1.0196868263473053,1.2137445833333333,0.8455886227544911,1.061567857142857,0.37047744047619047,0.733039375,0.5166781690140846
11,1.3922290476190475,1.0845114906832298,2.5870160714285713,0.9640893452380952,0.9547195731707316,0.7155785714285715,0.8586239880952381,0.774091856287425,0.9948730538922156,0.7740656547619047,0.7316124096385542,1.1415636904761906,0.9465165277777778,1.1890842857142858,1.0105892215568864,0.6905107142857142,0.7269496666666666,1.307326347305389,0.7091635416666667,0.7626967361111111,0.5970035928143713
12,1.3448679166666668,1.02367,2.5318125,0.5294234337349398,0.944924156626506,0.7657832335329342,0.7862283333333334,0.7135704191616766,1.0292654545454545,0.691941616766467,0.9072901796407186,0.9795256097560976,0.7947375449101797,1.1828640963855421,1.0111616766467066,0.8602395209580838,0.9296132335329341,1.1557389221556886,,1.2319011904761905,0.4937944099378882
13,1.236647619047619,1.018034880952381,2.090729861111111,0.6110505389221557,1.0797022023809524,0.41451137724550896,0.7916221084337349,0.8378641916167664,0.9503572327044024,0.7160938787878788,0.9508012574850299,0.6585666666666666,0.8698656547619047,1.1632122754491019,0.9329114649681528,0.6179761904761906,0.8698916766467065,0.9220827380952381,0.3182453846153846,1.2478770238095238,0.424521686746988
14,1.3103475630252102,1.166901904761905,1.8345144578313253,0.6851634756097561,0.8941868292682926,0.6129634730538922,0.8112394011976047,0.8594123809523809,1.1043580952380951,0.804052479338843,0.7865031137724552,0.8321256944444444,0.8656553472222223,0.8481552702702703,0.9608863095238095,0.9297317708333334,0.8033671428571428,0.8180813253012048,0.3032082876712329,0.6775857692307692,0.4608383647798743
15,1.3053398214285714,1.138302857142857,2.035445882352941,1.0122151190476192,0.7737054320987654,0.42124207317073165,0.8675798214285715,0.7773055357142857,0.9548180722891566,0.8788222155688622,0.6683444642857143,0.3093397435897436,0.8749626388888889,0.9129970238095237,0.6084291666666667,0.963912105263158,0.7467441176470588,0.5525571428571429,0.5698714583333333,0.7212513333333334,0.32678443113772454
16,1.368944880952381,0.851952951807229,1.1848899224806202,0.6099941176470588,0.8133468674698795,0.4890766467065868,0.9819914970059881,0.725137365269461,0.8314005952380952,0.8611769461077845,1.0015863855421687,0.399664375,0.7713499404761905,1.0815158083832335,0.663259880239521,1.1915190243902438,0.8127207784431137,0.5912769696969696,,0.8895924404761905,0.4029255952380953
17,1.385993511904762,1.2195498795180724,1.6485152777777778,0.7182064150943396,1.2506086746987952,0.5528687116564417,1.0100781547619047,0.807457090909091,0.9543849397590362,1.460737469879518,1.0645045508982036,0.7274012048192771,0.878060361445783,1.0098014371257484,1.0994409638554217,1.2508142307692307,0.7067599999999999,0.8595257485029939,0.4206063225806451,0.7577883928571428,0.5357636904761905
18,1.3751496969696968,1.0761825,1.6526198757763975,0.6570623529411764,0.7738783832335329,0.5237553571428571,0.8879292215568861,0.7497367469879518,0.9618191666666667,1.0744461788617887,0.7886225748502994,0.844973611111111,0.9911787586206897,0.7207870833333333,0.8395580838323353,0.8799365,0.7468039285714285,0.7825481927710843,0.46053272727272726,0.6760071428571428,0.38660778443113775
19,0.957299741935484,1.329718303030303,1.6390041666666668,0.6381165034965035,0.9297735928143712,0.5253873493975904,0.5964780357142857,0.8369264071856287,0.9338566037735849,0.7105630952380952,0.6154849700598802,0.6195181818181819,0.6387072727272727,0.8438636526946107,0.9923541666666666,1.0845785416666667,0.8098859166666668,0.7077232142857143,0.404543869047619,0.5682446666666666,0.3224132530120482
20,,1.3148473770491804,1.349468263473054,0.4082837735849057,1.37099,0.4156812121212121,0.7707784431137724,0.9482326347305389,0.9641901515151515,0.793945628742515,0.6562890853658536,0.4658207317073171,0.6975531547619047,1.0130037349397591,0.8204557575757576,,0.7928980838323354,0.5182844311377246,0.3535911309523809,0.5475199404761905,0.28252559523809523
21,1.0173003311258277,,1.4997595238095238,0.4383302068965517,1.0365997530864197,0.5216478787878788,0.8116766467065869,1.000335748502994,1.266296153846154,0.6083411377245509,0.8569398203592814,0.7135613095238095,0.6088082142857143,0.8190511515151515,0.8208893081761006,,0.8702802976190476,0.6806784431137725,0.2718294610778443,0.7429485714285714,0.47559464285714287
22,1.3479094623655914,1.0886012903225808,1.8495598484848483,0.5865378527607362,1.1782769277108434,0.49548292682926826,0.8978483832335329,0.8599315624999999,0.8785729166666667,0.8754773134328357,0.9459798203592815,0.7478361445783133,0.7921755208333333,0.8841439520958084,0.9826119760479043,0.48490056451612906,0.9771689221556886,0.8134815476190476,0.36006937499999997,0.7316346428571429,0.3940732142857143
23,1.1935278472222222,1.19520625,1.7958994047619048,0.6008506293706294,0.6868568518518519,0.5837077380952381,0.740873869047619,0.8087042857142858,1.022325,0.8213160240963855,0.6568160119047619,0.7534034722222223,0.7626432738095238,0.6529362237762237,0.9224687116564417,1.0542551351351352,0.7507936309523809,0.6321567901234568,0.35631904761904765,0.6779194642857144,0.36998749999999997
24,1.1806970212765957,1.285816011904762,1.6363721311475408,0.639960375,0.8196585714285715,0.40797142857142854,0.8095378571428572,0.8531932934131737,1.4743317365269462,0.8871959523809524,0.6546778571428571,0.6723120481927711,0.5941587234042554,0.9855895402298851,0.847500909090909,0.32758305084745765,0.765392,0.335979375,0.37282240963855423,0.5398458333333332,0.37321607142857144
25,1.4284813924050634,1.1602734523809524,1.8650803571428571,0.3235182738095238,0.6792165217391304,0.6513060606060607,0.7383235329341318,0.810480239520958,1.5668811688311688,0.8983209580838323,0.6211141916167665,0.8900814371257485,0.6542742857142857,0.6832486153846155,0.9739651898734178,0.26451840277777783,0.4946360975609756,0.47052335329341316,0.20586380952380953,0.5518347023809523,0.4369814371257485
26,1.5245305633802817,1.3170112048192772,1.7036965034965035,0.36545958083832336,0.8591720359281437,0.35756646706586825,0.819388502994012,0.9176156886227544,0.9070583333333334,0.6199514084507043,0.7552079761904762,0.6552869047619048,0.7276550595238095,0.95914,0.8476363095238094,0.8683539285714287,0.7485597604790419,0.6315443113772455,0.2519544642857143,0.6400902976190476,0.2963410714285714
27,1.2687996527777778,0.9721733333333333,1.7010666666666667,0.45364972972972967,0.8737279861111111,0.49747425149700597,0.7682365476190476,0.6775213690476191,0.7931737288135593,0.7806347142857143,0.6790197023809524,0.6044486111111111,0.809611488095238,0.6139540972222223,0.8002494047619048,0.6553056790123457,0.7628550595238095,0.6208005988023952,0.3124041304347826,0.5749129166666667,0.3901470238095238
28,1.1920306547619046,1.1726610714285715,1.604334523809524,1.0674217021276595,0.6738706293706294,0.3248451219512195,0.7252739156626506,0.7548374404761905,0.7372367469879518,0.6654067857142858,0.5327059523809524,0.7769982142857143,0.6028584027777778,0.6199084431137725,0.6479416666666667,0.526079705882353,0.8184088333333333,0.6801347305389221,0.5399842708333333,0.40465208333333336,0.2634071856287425
29,1.3341273214285714,1.121050843373494,1.6561471428571428,0.3222604,0.3411730722891566,0.43603952095808385,0.7681727108433736,0.8648965868263472,0.43730416666666666,0.5239513173652695,0.5278276047904191,0.8651820359281437,0.4967518452380953,0.5087690419161677,1.409829518072289,,1.0790500598802395,0.7837413173652695,,0.3312682738095238,0.3511982142857143
30,1.4316274404761904,1.0782917365269462,1.6575416666666667,0.4664914556962026,0.3330742261904762,0.45946167664670656,0.8482812574850299,0.8791406586826347,0.6781753086419753,0.6873355357142857,0.5679829518072289,0.7564556886227545,0.6318389285714285,0.8514921656050956,1.6759830303030303,,1.1995049101796407,0.7570797619047619,0.17063614379084968,0.3977377380952381,0.31078855421686746
31,1.3714959060402685,1.073888622754491,1.9143949044585988,0.6187459722222222,0.6892412195121952,0.5064779761904762,0.7863520833333333,0.8343810778443115,0.8903781954887218,0.8801563559322034,0.7425322023809523,0.8146624242424242,0.8403838095238095,0.7097807092198581,0.9257286585365854,0.6357379166666667,1.0346078571428572,0.9496873493975904,0.43645986301369866,0.5778238690476191,0.4634389221556886
32,1.018271958041958,1.307719761904762,1.8324470238095236,0.812530487804878,0.8479561344537815,0.5822315476190476,0.7319003614457831,0.7963767469879519,0.9172510416666667,0.649839880952381,0.634575,0.8795333333333333,0.704364014084507,0.5931402994011976,0.9522439024390245,0.6175045833333334,0.73033375,0.9147363636363637,0.3926917857142857,0.50654425,0.44240416666666665
33,1.088962380952381,1.2046724404761906,1.8086130952380952,0.4823161904761905,0.819403734939759,0.6685497005988024,0.7453124404761905,0.9362099404761904,,0.5674496428571428,0.7129635329341317,,0.6958428571428572,0.5637909580838324,0.7687809523809523,,0.9015615277777778,1.067102380952381,0.2044589880952381,0.7621134523809523,0.4723910714285714
34,1.109085628742515,1.1157681325301205,1.6450359281437126,0.4167689880952381,0.3417001290322581,0.5190107784431138,0.7242226946107784,0.6702203592814371,,0.41893226190476185,0.5228290419161676,,0.6260290476190477,0.30140413173652697,1.010564705882353,,0.695745843373494,0.5707210843373494,0.2555103592814371,0.6522240476190476,0.37690538922155686
35,1.2110135975609757,1.1802176506024098,1.7439097222222222,0.5887815476190477,0.6713001818181817,0.4545875,0.7691145833333334,0.5434599371069182,0.9142038167938932,0.6547270895522388,0.6339493975903615,0.59182,0.8151026530612244,0.5177253614457831,0.8131867469879518,0.4991666666666667,0.7876152976190476,0.8157632530120481,0.48844298611111114,0.718592303030303,0.4224279761904762
36,1.2399295070422534,1.1089958333333332,1.9750011904761906,0.37699141732283464,0.7935649645390072,0.6058682926829267,0.7822269090909091,0.8060524698795181,0.7846176056338028,0.7197718543046357,0.755186,0.9589006944444445,0.6986298192771084,0.7791034722222222,1.080839880952381,0.5791298611111111,0.7936932727272729,0.9658372549019608,0.36064312499999995,0.564838630952381,0.5256515151515152
37,1.1477455089820359,1.3080286904761904,1.6421065476190475,1.2713035329341318,0.7527683916083916,0.5179868263473054,0.7879931137724552,0.6173236585365853,1.2144448484848485,0.8678202409638553,0.702424251497006,0.5100883333333334,1.0527074647887324,0.7689476363636364,0.9606600000000001,0.9329308333333334,0.6940709243697479,0.7219844311377245,0.6969420238095237,0.7167547058823529,0.35133035714285715
38,1.3325745833333333,1.4923353293413173,1.5923125748502993,0.7526351497005989,1.3735963917525775,0.5244658682634731,0.7736113173652696,0.8399371856287425,0.9982574850299402,0.5088924516129033,1.0657508982035928,,0.7867873125,0.9877091044776118,0.9595512048192771,,1.0570876047904192,0.7604461077844311,0.4440538095238095,,0.34098809523809526
39,1.3328092857142857,1.2626695808383235,1.8984270833333332,1.2264697604790418,1.1304034351145038,0.5607424050632912,0.7669254819277108,0.698143869047619,0.8880795180722891,0.5898705988023952,0.9497550299401198,0.7529520833333333,0.50815,0.626197380952381,0.9542265060240964,,1.0198666467065869,0.9236993865030674,0.4513234730538922,,0.4620491017964072
40,1.3094563571428572,0.9736176506024097,1.637817857142857,0.49902375,0.9529069677419355,0.43835238095238094,0.7565201190476191,0.7184250299401197,0.8548083916083916,0.7798472368421053,0.8878195808383234,0.6878609589041096,0.7972801190476191,0.832163611111111,0.8337706586826348,0.5688844166666667,0.8728488023952096,0.7487804195804195,0.564351981981982,0.7148528472222222,0.4142789156626506
41,1.1079033734939758,1.2518293452380953,2.0978815476190475,1.1148017261904761,0.7326285416666667,0.7355520958083832,0.8009434523809524,0.7133226785714286,1.0705059523809524,0.8154755688622753,0.6077373652694611,0.8120571428571429,0.8775117307692307,0.6223775,1.0627360248447206,0.8618033333333334,0.878133025210084,1.0652464285714285,0.668257619047619,0.46826875,0.6637684523809524
42,1.1527655688622755,1.4092122754491017,2.1675744047619045,0.9160047619047619,1.1337379754601227,0.7398095238095238,0.7394547619047619,0.8303959523809523,0.9509524096385542,0.5223766666666667,0.7873530538922154,0.752188622754491,0.7339172222222222,1.1790664457831326,1.1530680722891566,,1.1043970833333334,1.058477108433735,0.8493869642857144,,0.6000796407185629
43,1.1000130357142857,1.3444175449101796,2.059207142857143,1.2587733734939759,1.068493780487805,0.6285469879518073,0.8394404166666667,0.7647589221556886,0.7376952095808383,0.6852405988023952,0.6711955952380952,0.7840692771084337,0.7896634523809523,0.862065644171779,1.077152380952381,,,1.04852,0.9680272619047618,,0.562488125
44,1.2912826506024098,1.2803928313253012,1.95363661971831,0.9258652121212122,0.9275388414634146,0.4720013245033112,0.7237463157894737,0.809808606060606,0.8305231707317073,0.7689603546099291,0.6532319277108434,0.5860969879518073,0.9243886746987952,0.8965083443708609,0.8407644578313254,0.6551086021505377,0.7402094285714286,0.849622077922078,0.7862058518518518,0.5519631944444444,0.4190287425149701
45,1.1042478873239436,1.2650583636363637,1.8831242424242425,0.8661088235294118,0.7304580357142857,0.5008482142857142,0.7953348214285715,0.80815125748503,0.7743852112676056,0.7841875595238095,0.800743630952381,0.7252297101449275,0.7317516071428571,0.7822082035928144,1.0008443113772454,0.347381875,0.8346707784431138,0.981122619047619,0.4860654861111111,0.6207868055555555,0.4890464285714286
46,0.9827645833333334,0.9102080722891566,2.0187315476190477,2.062936766467066,1.5876104166666665,0.5883415662650602,0.9261295833333333,0.5600643975903615,0.5691682634730539,1.0242024404761905,0.8840662068965518,0.7874309523809524,1.1802789759036145,1.0133834782608695,1.2344309523809525,0.7743917964071857,,0.9424173652694611,0.6438205732484077,0.5945179220779221,0.5015307228915662
47,0.9211419047619047,0.9311606547619048,2.1537194444444445,1.9020742857142856,0.8459357051282052,0.8273785714285713,0.8262284523809523,0.5247875308641975,0.8301664670658683,0.8897182517482517,0.7550348872180451,1.1294198795180723,1.089314761904762,1.170192358490566,1.2936355421686747,0.6795151785714286,,1.3727788819875777,0.4346136904761905,0.476148,0.7303517857142857
48,1.1190686904761904,1.2783723270440253,1.9653489361702126,1.400425393939394,1.2177775609756099,0.37839685534591194,0.7649077844311377,0.8857864880952381,0.884794011976048,0.9462663120567376,0.8259086585365853,0.5807700598802396,0.9266935087719299,0.9134212025316456,0.7458150602409639,0.7684,0.7911779166666667,0.8189713414634145,0.6989799346405229,0.5204192261904762,0.37094969696969693
49,1.2133840845070423,1.1953361904761906,1.6308059523809522,0.7892783333333333,0.6157175449101797,0.3931934523809524,0.86911275,0.9105126666666666,0.783579020979021,0.7389111445783133,0.7502107738095238,0.5742548611111111,0.7615168263473054,0.8685185029940119,0.845506626506024,0.7294766666666667,0.7113411904761905,0.6964388888888888,0.4218409722222222,0.594038869047619,0.3592928143712575
50,1.1567486904761903,1.1859199404761906,2.265915476190476,1.3666002976190477,1.1140564583333332,0.5697886904761905,0.8549566071428572,0.6629880722891567,0.9190553571428571,0.7434532142857142,0.8138151497005988,1.0387315476190477,0.8136903571428572,0.8938438554216868,1.3455107142857141,0.8185305594405594,0.7689435416666667,1.1071240963855422,0.6493209523809524,0.6633978333333334,0.5496910179640718
51,1.22908125,1.349877245508982,1.9955845238095238,1.4095726347305388,0.9615916265060241,0.47928452380952385,0.7766877380952382,0.9549174251497007,0.677422619047619,0.7218192215568862,0.5560939156626505,1.0537011904761906,0.814624251497006,0.8314086826347304,0.9183321428571428,0.7296764880952381,0.4953873394495413,0.8954547619047618,0.6386652873563218,0.3567122916666667,0.5318488095238095
52,1.176625892857143,1.2148638095238096,2.2058224999999996,1.1969460714285713,1.061698313253012,0.5389891666666667,0.758081369047619,0.8906025748502994,0.8004591666666666,0.5980957142857143,0.6059373170731708,1.1059383333333335,0.6467214285714286,0.7520192215568863,0.7261308333333333,0.6753247590361445,0.4807235329341317,0.9683466666666667,0.13731522727272727,0.5175979012345678,0.4543425
